Date,Open,High,Low,Close,%Change
16-02-2021,15371.4502,15431.75,15242.2002,15313.4502,-0.38%
17-02-2021,15279.90039,15314.2998,15170.75,15208.90039,-0.47%
18-02-2021,15238.7002,15250.75,15078.0498,15118.9502,-0.79%
19-02-2021,15074.7998,15144.0498,14898.2002,14981.75,-0.62%
22-02-2021,14999.0498,15010.09961,14635.0498,14675.7002,-2.20%
23-02-2021,14782.25,14854.5,14651.84961,14707.7998,-0.51%
24-02-2021,14729.15039,15008.7998,14504.5,14982,1.69%
25-02-2021,15079.84961,15176.5,15065.34961,15097.34961,0.12%
26-02-2021,14888.59961,14919.4502,14467.75,14529.15039,-2.47%
01-03-2021,14702.5,14806.7998,14638.5498,14761.5498,0.40%
02-03-2021,14865.2998,14959.09961,14760.7998,14919.09961,0.36%
03-03-2021,15064.40039,15273.15039,14995.7998,15245.59961,1.19%
04-03-2021,15026.75,15202.34961,14980.2002,15080.75,0.36%
05-03-2021,14977.9502,15092.34961,14862.09961,14938.09961,-0.27%
08-03-2021,15002.4502,15111.15039,14919.90039,14956.2002,-0.31%
09-03-2021,15049.90039,15126.84961,14925.4502,15098.40039,0.32%
10-03-2021,15202.15039,15218.4502,15100.84961,15174.7998,-0.18%
12-03-2021,15321.15039,15336.2998,14953.59961,15030.9502,-1.93%
15-03-2021,15048.40039,15048.40039,14745.84961,14929.5,-0.80%
16-03-2021,14996.09961,15051.59961,14890.65039,14910.4502,-0.57%
17-03-2021,14946.5498,14956.5498,14696.0498,14721.2998,-1.53%
18-03-2021,14855.5,14875.2002,14478.59961,14557.84961,-2.04%
19-03-2021,14471.15039,14788.25,14350.09961,14744,1.85%
22-03-2021,14736.2998,14763.90039,14597.84961,14736.40039,0.00%
23-03-2021,14768.5498,14878.59961,14707,14814.75,0.31%
24-03-2021,14712.4502,14752.34961,14535,14549.40039,-1.12%
25-03-2021,14570.90039,14575.59961,14264.40039,14324.90039,-1.72%
26-03-2021,14506.2998,14572.90039,14414.25,14507.2998,0.01%
30-03-2021,14628.5,14876.2998,14617.59961,14845.09961,1.46%
31-03-2021,14811.84961,14813.75,14670.25,14690.7002,-0.82%
01-04-2021,14798.40039,14883.2002,14692.4502,14867.34961,0.46%
05-04-2021,14837.7002,14849.84961,14459.5,14637.7998,-1.37%
06-04-2021,14737,14779.09961,14573.90039,14683.5,-0.36%
